timestamp,j0,j1,j2,j3,j4,j5,tcp_x,tcp_y,tcp_z,tcp_rx,tcp_ry,tcp_rz,gripper_pos,skill_id,image_file
20260216_171605_161682,-1.5063031355487269,-1.7452789745726527,-2.0603768825531006,-0.9165929120830079,1.552863597869873,3.1645348072052,-0.10626867291448756,-0.48781061385770674,0.05957879246758127,-3.132158228555529,-0.06521880009592347,0.026642618138758827,230,0,images/frame_0000_20260216_171605_161682.png
20260216_171613_634680,-1.5062664190875452,-1.758568903008932,-2.0696969032287598,-0.8939080995372315,1.552863597869873,3.1645138263702393,-0.10625843978223025,-0.48784587297722987,0.05164273234623737,-3.1322323215412577,-0.06524340080055997,0.026637615559836868,230,0,images/frame_0001_20260216_171613_634680.png
20260216_171618_739260,-1.4867623488055628,-1.7545677624144496,-2.0746278762817383,-0.8933175367167969,1.5530438423156738,3.1840085983276367,-0.09683932701445092,-0.4878291116972427,0.05164156296541578,-3.1322150253504955,-0.0652694053462414,0.026647890924598516,230,0,images/frame_0002_20260216_171618_739260.png
20260216_171624_241750,-1.4868581930743616,-1.6853367290892542,-2.01680326461792,-1.0204406541636963,1.5530800819396973,3.1841254234313965,-0.09682724370922224,-0.4878168643776032,0.09644606498875055,-3.132147924487378,-0.06529456085365619,0.02661369760650853,230,0,images/frame_0003_20260216_171624_241750.png
20260216_171631_614655,-1.547398869191305,-1.7205215893187464,-1.9760185480117798,-1.02511419475589,1.5524916648864746,3.123549699783325,-0.12596731739624678,-0.4973208115693696,0.09642900385486639,-3.1320634472219906,-0.06526361943219754,0.02664166743532638,230,0,images/frame_0004_20260216_171631_614655.png
20260216_171638_120056,-1.5146263281451624,-1.572940012017721,-2.1245932579040527,-1.0245514076999207,1.55286705493927,3.1565611362457275,-0.11295925184605675,-0.4384145851199977,0.10082282809935084,-3.132188865408667,-0.06523832836370466,0.026616335311781574,230,0,images/frame_0005_20260216_171638_120056.png
20260216_171641_653261,-1.5005415121661585,-1.5181860861233254,-2.1776089668273926,-1.0266412061503907,1.5530229806900024,3.1707255840301514,-0.10832757226611729,-0.41699840046385217,0.10078434086981786,-3.132072768460643,-0.06524117747145627,0.02663709088472909,230,0,images/frame_0006_20260216_171641_653261.png
20260216_171643_690470,-1.498781983052389,-1.4921759975007554,-2.201340913772583,-1.0288360875895997,1.5530438423156738,3.1725165843963623,-0.10833935446436205,-0.40666950472979024,0.10082964435526293,-3.1321858670616627,-0.06525391001832041,0.026649055472318137,230,0,images/frame_0007_20260216_171643_690470.png
20260216_171646_925420,-1.4969514052020472,-1.4915012952736397,-2.247069835662842,-0.9838524025729676,1.5530717372894287,3.174297571182251,-0.10832642593166265,-0.3969762204969613,0.08595956876661459,-3.132144295794947,-0.06526382007639463,0.026639502860137547,230,0,images/frame_0008_20260216_171646_925420.png
20260216_171650_095341,-1.4951522986041468,-1.4885515359095116,-2.285588026046753,-0.9483209413341065,1.5531073808670044,3.176053762435913,-0.1083125148125515,-0.38788135590127204,0.07445381343289706,-3.132135432648872,-0.0652831154706993,0.02661897167238368,230,0,images/frame_0009_20260216_171650_095341.png
20260216_171654_131369,-1.4940245787249964,-1.491837040787079,-2.312525510787964,-0.9180494707873841,1.553085207939148,3.1771433353424072,-0.10832952212819402,-0.38226849670855273,0.06511348690078725,-3.13220316656708,-0.0652903910067008,0.02666726627735809,230,0,images/frame_0010_20260216_171654_131369.png
20260216_171656_966328,-1.4939764181720179,-1.513845295911171,-2.328301191329956,-0.8802791994861145,1.5531193017959595,3.177107334136963,-0.10831532385437509,-0.3822621489607315,0.05423392357355675,-3.132186685056965,-0.06531574172527288,0.026601868974785413,230,0,images/frame_0011_20260216_171656_966328.png
20260216_171659_134516,-1.492589298878805,-1.4998211127570649,-2.3462228775024414,-0.876417414551117,1.553146481513977,3.1785364151000977,-0.10831875181547301,-0.37548130680271097,0.052682928978096705,-3.1321749456947634,-0.0652752302148464,0.026596632054059422,230,0,images/frame_0012_20260216_171659_134516.png
20260216_171703_504938,-1.4824803511248987,-1.3830337834409256,-2.4417526721954346,-0.897871271972992,1.5533229112625122,3.188836097717285,-0.10832795948650334,-0.33277535465089914,0.052680068300972466,-3.1321480193726736,-0.06525985837703129,0.026606512817290325,230,0,images/frame_0013_20260216_171703_504938.png
20260216_171715_313581,-1.5288026968585413,-1.2871589225581666,-2.3277175426483154,-1.1069391530803223,1.5529543161392212,3.1428396701812744,-0.12343523153267952,-0.33296524530011334,0.11210373301366194,-3.132227843578271,-0.06525612646181422,0.026615660931474844,105,0,images/frame_0015_20260216_171715_313581.png
20260216_171720_283594,-1.5694072882281702,-1.6490327320494593,-2.011497735977173,-1.0606572789004822,1.5523202419281006,3.10168719291687,-0.13692041001175836,-0.47159058851887936,0.11207936966262502,-3.13215643470742,-0.06525507718980969,0.02666041890802762,105,0,images/frame_0016_20260216_171720_283594.png
20260216_171028_455191,-1.5799124876605433,-1.7379685841002406,-2.098299503326416,-0.8846848768046875,1.5522314310073853,3.0908782482147217,-0.14193812243513398,-0.46842057431421036,0.050892353537963175,-3.132205746483911,-0.06524963434241791,0.026635855566987304,105,0,images/frame_0000_20260216_171028_455191.png
20260216_171045_400304,-1.5799244085894983,-1.7379104099669398,-2.0983221530914307,-0.8846418422511597,1.5522092580795288,3.090881824493408,-0.14194992483667537,-0.46842533878559905,0.050914939092483125,-3.1322837116006794,-0.06522610236040048,0.026674861409801093,165,0,images/frame_0001_20260216_171045_400304.png
20260216_171052_000000,-1.5800684134112757,-1.6454382458850602,-1.9704856276512146,-1.1050254938057442,1.5522745251655579,3.0910609859535694,-0.14194194310273577,-0.46841856062433367,0.100914939092483125,-3.1322119133790887,-0.06527033192734078,0.02664938068259037,165,0,verification_wp
20260216_171059_311076,-1.580212418233053,-1.5529660818031807,-1.8426491022109985,-1.3254091453603287,1.552339792251587,3.091240167617798,-0.14193396136879616,-0.4684117824630683,0.20934811065371006,-3.132140115157498,-0.06531456149428108,0.026623899765379645,165,0,images/frame_0002_20260216_171059_311076.png
20260216_171110_051495,-0.5899799505816858,-1.144661085014679,-2.3940043449401855,-1.1931018096259614,1.567244291305542,4.081868648529053,0.15893324875211642,-0.266846017550038,0.11719301853830938,-3.13216030765046,-0.06523320737100562,0.026653126733282774,165,0,images/frame_0003_20260216_171110_051495.png
20260216_171114_087771,-0.5401085058795374,-1.3418960285237809,-2.539050579071045,-0.850868896847107,1.5679783821105957,4.131174564361572,0.17838090243654636,-0.2622459068408209,0.03146074150000955,-3.132212330546814,-0.06521730636001914,0.026593080983480323,165,0,images/frame_0004_20260216_171114_087771.png
20260216_171118_724273,-0.5400965849505823,-1.3418615919402619,-2.5390541553497314,-0.85086543977771,1.5679819583892822,4.1311936378479,0.17838758119419362,-0.2622447344491759,0.03146960207594782,-3.1322284598842693,-0.06520639115151211,0.026544924046212226,3,0,images/frame_0005_20260216_171118_724273.png
